Tipo;Tiempo_CR;Tiempo_UTC;Lat;Lon;Profundidad_km;Magnitud_Mw;Acelaracion_cms2;Lugar_mayor_aceleracion
M;3/11/2019 08:42;3/11/2019 14:42;9,991;-83,465;16,7;3,5;5,36;INS Siquirres
M;3/11/2019 00:00;3/11/2019 06:00;9,837;-84,279;54,1;3,3;1,79;Bebedero, Escazu
A;29/10/2019 12:50;29/10/2019 18:50;9,925;-84,216;67,5;4,3;18;Clinica Turrubares
M;26/10/2019 00:18;26/10/2019 06:18;9,42;-84,626;22,4;4,1;2,83;Jaco
M;25/10/2019 03:48;25/10/2019 09:48;8,54;-83,1;5,8;3,8;6,66;Est Bio Osa Verde, Osa
M;24/10/2019 04:05;24/10/2019 10:05;7,7089;-82,5615;37,9;4,7;9,87;Est Bio Osa Verde, Osa
M;20/10/2019 07:18;20/10/2019 13:18;8,104;-82,839;8,3;4,3;3,45;Est Bio Osa Verde, Osa
M;17/10/2019 12:14;17/10/2019 18:14;9,76;-84,007;1,1;3,2;9,48;Frailes
A;17/10/2019 07:06;17/10/2019 13:06;10,078;-85,13;48,9;4,2;14,73;Paquera
M;16/10/2019 13:27;16/10/2019 19:27;8,375;-82,888;38,5;4;4,38;Est Bio Osa Verde, Osa
M;13/10/2019 09:52;13/10/2019 15:52;9,531;-84,831;23,6;3,8;4,75;Paquera
M;12/10/2019 22:36;13/10/2019 04:36;8,769;-83,144;19;4,2;10,66;Est Bio Osa Verde, Osa
M;12/10/2019 05:58;12/10/2019 11:58;8,997;-82,848;28,1;4,1;4,15;Bomberos San Vito
A;9/10/2019 21:22;10/10/2019 03:22;9,464;-84,863;27,9;4,6;21,19;Jaco
M;9/10/2019 16:35;9/10/2019 22:35;9,969;-84,098;8,1;3;4,05;S.J. Montana, Barva
M;9/10/2019 01:57;9/10/2019 07:57;8,969;-84,247;22,4;4,3;4,27;Bomberos Quepos
M;9/10/2019 01:10;9/10/2019 07:10;9,781;-83,786;3;3,3;8,75;Orosi
M;9/10/2019 00:18;9/10/2019 06:18;9,753;-83,798;5;4,2;43,34;Orosi
M;7/10/2019 23:43;8/10/2019 05:43;9,983;-84,095;4,1;3;6,84;S.J. Montana, Barva
M;6/10/2019 10:41;6/10/2019 16:41;9,792;-83,954;3;3;3,78;Paraiso
M;5/10/2019 03:54;5/10/2019 09:54;8,489;-82,971;19,6;4,4;41,82;Hosp C. Neily
M;5/10/2019 02:45;5/10/2019 08:45;9,879;-84,307;7,3;3,4;12,23;Ebais Cd. Colon
M;2/10/2019 06:52;2/10/2019 12:52;8,469;-82,807;13,9;4,7;31,15;Hosp C. Neily
M;1/10/2019 03:23;1/10/2019 09:23;9,044;-83,788;42,1;3,9;4,14;Est Bio Osa Verde, Osa
M;30/9/2019 18:12;1/10/2019 00:12;8,8;-83,172;37,8;4,1;11,7;Est Bio Osa Verde, Osa
M;28/9/2019 00:22;28/9/2019 06:22;9,673;-84,183;15,5;3,7;11,79;Frailes
M;27/9/2019 17:20;27/9/2019 23:20;8,446;-82,962;25,6;3,8;6,84;Est Bio Osa Verde, Osa
M;26/9/2019 14:01;26/9/2019 20:01;9,25;-83,79;28,4;4,1;3,49;INS San Isidro de El General
M;24/9/2019 09:23;24/9/2019 15:23;8,074;-83,312;19,1;4,3;43,61;Est Bio Osa Verde, Osa
A;18/9/2019 05:23;18/9/2019 11:23;9,273;-84,104;32,7;5;47,78;CAIS Puriscal
A;17/9/2019 22:58;18/9/2019 04:58;9,783;-82,881;25;5;17,93;Talamanca
A;15/9/2019 17:22;15/9/2019 23:22;9,975;-84,095;7,6;3,4;19,29;S.J. Montana, Barva
M;13/9/2019 22:16;14/9/2019 04:16;9,573;-84,055;44,8;3,4;1,56;Frailes
M;11/9/2019 19:59;12/9/2019 01:59;9,292;-83,775;33;3,9;2,44;INS San Isidro de El General
M;11/9/2019 02:04;11/9/2019 08:04;9,545;-83,932;23,9;3,3;4,97;Bebedero, Escazu
M;5/9/2019 06:35;5/9/2019 12:35;8,431;-82,917;27,2;3,8;4,06;Est Bio Osa Verde, Osa
M;30/8/2019 07:45;30/8/2019 13:45;8,26;-83,052;16,5;4,3;4,71;Est Bio Osa Verde, Osa
M;29/8/2019 23:37;30/8/2019 05:37;8,38;-82,964;15,2;4,8;17,82;Laurel, Corredores
M;28/8/2019 17:17;28/8/2019 23:17;8,461;-82,988;22,1;4,9;46,96;Est Bio Osa Verde, Osa
M;27/8/2019 23:01;28/8/2019 05:01;9,511;-84,574;16,9;3,8;17,14;Jaco
M;26/8/2019 16:49;26/8/2019 22:49;8,689;-83,268;16,1;4,1;27,83;Est Bio Osa Verde, Osa
M;26/8/2019 12:41;26/8/2019 18:41;9,522;-84,577;15,5;3,7;2,91;Jaco
